HSV_S;HSV_H;HSV_V;HSI_S;HSI_H;HSI_I
118;140;127;0.215983;4.47;0.505515
140;164;130;0.143595;4.28;0.568931
139;165;128;0.146268;4.26;0.565817
100;119;106;0.152283;4.90;0.427398
133;159;126;0.151546;4.46;0.547816
121;148;117;0.186027;0;0.507186
116;137;111;0.1614;4.47;0.477975
95;114;101;0.199264;4.89;0.407115
131;154;125;0.1462;4.39;0.538597
109;128;111;0.151683;4.73;0.457382
131;155;125;0.151357;4.37;0.53941
107;119;109;0.095308;5.13;0.439999
106;122;112;0.130224;4.95;0.446363
136;156;131;0.120999;4.49;0.555488
122;145;116;0.177017;4.38;0.501911
144;172;131;0.185223;0;0.586868
142;170;130;0.199875;0;0.57977
154;186;134;0.193087;0;0.622281
161;194;140;0.18915;0;0.64928
117;138;115;0.181201;4.43;0.486409
155;185;138;0.182919;4.02;0.626281
159;190;138;0.182551;3.93;0.637557
128;152;122;0.153687;3.86;0.526982
129;150;129;0.165497;3.81;0.535385
